Anonymous ID,Q16,Q19_1,Q19_2,Q19_3,Q4,Survey_Model,Survey_NE,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,Q17,Q18,Q5,Q6,Q8,Q9,Q11,Q12,Q14,Q15,Q20_1,Q20_2,Q20_3
61,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,9,7,5,6,6,8,5,8,6,6,7,6,5,6,6,7,4,8,,The sampler that I chose represents how I understand the context,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,What appeals me is that it's really simple and clear.,"It helps me understand that two events are independent, the result of one events does not affect the other.",What appeals me is it shows the chance of winning coin flip and winning the game.,It support my learning in class because this sampler shows my thought process.,"What doesn't appeals me is this sampler switch place for game_outcome and coin_flip, which is the opposite of how my brain process the information.","I helps me understand that these two events are independent, because although the sequence is changed the result of the two event will not be affected by each other.",3,1,2
62,"Yes, I was present and completed the NFL activity.",1,3,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,5,5,5,3,5,7,7,9,8,6,7,8,7,9,7,6,5,5,8,6,,"I think we first wanted to determine if our team won or lost the coin flip, and secondly if that team won or lost the game.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,,,,,,,,,
63,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,9,7,7,7,7,6,7,6,5,5,8,7,6,5,6,8,5,6,7,It does not differ ,"There is an equal likelihood or winning or losing, whether it is about the coin flip or the game outcome.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",It does not differ ,"Appeal - there are two possibilities made possible by the spinner
Doesn't appeal - there is only one spinner
",The spinner above was one step towards finding the outcome of a coin-flip winner but not the only way,Appeal - there are two spinners and both have win/lose possibilities,This device  helped in analyzing whether or not a team winning a coin flip would be more or less likely to also win the following game.,"Appeal - there are two stacks with two possibilities  each 
Doesn't appeal - game outcome is before coin flip",This device did not support my learning in class because our results were not analyzed in the way shown above ,2,1,3
64,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,10,5,7,8,8,7,10,10,10,6,8,8,9,8,7,8,7,7,10,It did not differ,It is the most accurate with more information,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,It is too simple and people does not provide information. The advantage is it runs faster due to not having to run extra simulation,It gave me a different perspective,It gives a lot of information. It however uses an extra spin everytime,It was the method i used and it made it easy to sort the data,I did not like the fact that people can get confused while using it,It was an interesting approach and taught me a different way it could be made,1,2,3
65,"Yes, I was present and completed the NFL activity.",1,2,3,I did not have a well-formed idea initially,,,8,8,7,7,7,7,5,6,7,7,8,7,8,7,7,8,7,9,8,8,My sampler was a spinner with win and lose for the coin flip which then connected to two different spinners that then determined win or lose for the actual game.,Based on whether or not the team won or lost the coin flip it then went to the chances of that team winning or losing the game.,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,You only need to find out the percentage of teams that win the game that also won the coin flip. A team always wins the coin flip so you can just assume the spinner to determine win or lose for the game is for the team that won the coin flip. It makes everything a lot simpler to keep track of.,I realized you don't need to actually keep track of the team who wins or loses the coin flip which makes things a lot easier. ,This sampler shows both if the team that won/lost the coin flip won or lost the game but it is not necessary to keep track of both together and it can be confusing because lose-lose is the same thing as win-win.,When discussing this in class I realized it was harder to keep track of which is what led me to chose a much simpler sampler.,It keeps track of both who won the coin flip and who won the game which is not necessary to keep track of and also makes it harder to keep track of. ,I realized it is harder and not necessary to add the extra spinner which led me to only using one. ,1,2,3
68,"Yes, I was present and completed the NFL activity.",3,1,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,We thought that that sampler was easiest to visualize ,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,The labels appeal to me but I would like it better if it used two spinners. ,This did support my learning as it assured me that I was on the right track as well as informed me of other ways to get the same results.,I like the drawn out visual of both the coin flip occurring and the game occurring. ,This did support my learning in class as this was the sampler we chose. ,I like how they use two spinners but I don't like how the game spinner is first and the coin spinner is second. ,This did support my learning as the order doesn't matter but I prefer the coin flip first ,2,1,3
70,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,I think it will be very easy to do the test this way.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"I think it is clear to set the data and the repeat and the draw numbers. However, it might be some what confusing about how to input the data.",It supported my learning as I learned how to actively input the data and the scenario.,"It is easier to see the data. However, it is somewhat confusing.",It helped my learning as it gives me an idea of the situation.,It is easier to set for the draw.,"It supported my learning as it is clearer. However, not to the same extent as the previous ones.",3,2,1
71,"Yes, I was present and completed the NFL activity.",1,2,3,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,8,7,8,8,8,9,4,5,8,4,7,6,7,7,7,7,4,6,7,9,it it worked without replacement the entire prediction would not be complete. ,"I believe since we only care about the coin toss winner, it is only natural to focus on that team, using a simple spinner win or lose makes it easier to track the data","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"I think it looks great, there is a 428 repeats for every single game, there is an attribute of coin flip winner and spinner with win or lose the game. ",I think it supported my learning because it made me understand how to use tinker plots to make my job easier and in many times there isn't a need for over complications. ,It is takes time to understand the data given which is time consuming with 428 repeats. ,"this was my first prediction of how to solve the problem, however I opted for a simpler option to avoid any confusion. ","It doesn't appeal to because the dependent should be the win or loose the game, not the coin flip. ",It didn't provide the straightforward information from the data,1,2,3
73,"Yes, I was present and completed the NFL activity.",1,3,2,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Didnt,"value simplicity, didnt really think of re-writing once initially executed","A device that first determines if a team wins or loses the game, and then determines if that team wins or loses the coin flip. ",two spinners,the simplicity,"didnt, we didnt talk",Same as ours,"same as ours, good to see that other people also did the same","different from ours, more complex",liked our solution more since it was simpler,1,3,2
74,"Yes, I was present and completed the NFL activity.",1,3,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,9,7,9,8,8,7,8,7,8,9,7,8,9,8,8,9,8,8,It wasn't,There were two opportunities to win or loose and so we sampled two times,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",It did not,I like that they only used one spinner to estimate specifically those who won the coin flip,It did support my learning because I was able to visualize it better,I do not like that they sampled twice because it makes it more confusing to analyze the results.,It supported my learning by helping with visualization,I do not like that it uses two spinners,It helped me visualize the scenario better,1,3,2
75,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,5,6,7,4,5,7,7,7,7,5,2,4,7,4,7,6,7,5,7,7,,"The first spinner is the coin toss and demonstrates either winning the coin toss or losing the coin toss, and there is a 50% chance for the coin toss. The second spinner demonstrates whether the team that won the coin toss won or lost the game, and there is still a 50% chance of the team winning or losing the coin toss to win the game. ","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"This sampler appeals to me because since it only has 1 spinner, it is much more cleaner and simpler. However, something that doesn't appeal to me is that if you don't read the spinner carefully, it could be confusing because there is nothing that demonstrates the coin toss. ",This supported my learning in class because it gave me another way to make my sampler in a way that didn't cross my mind at the beginning. ,"This was my favorite sampler and the one I used for the activity. I think this sampler demonstrates the activity clearly, with a clear spinner for the coin toss and a clear spinner for the game. The one thing I would change about this sampler is instead of having ""win"" and ""lose"" for the names, make the names ""team 1"" and ""team 2"" to show more clearly who won the coin toss and who won the game. ","This supported my learning because this was the device I thought of before the class discussion, so the discussion supported my thoughts. ","This sampler is similar to the one before, so I like the similar aspect it has. However, I don't like how the game outcome is before the coin toss. ","It helped because it gave another perspective, but also this sampler I think just brings more confusion because it is so similar to the past one but I don't like how the game outcome is first. ",2,1,3
76,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,5,3,8,6,8,3,4,9,7,4,8,9,6,9,9,9,8,8,8,7,,It gave just enough information without it being too cluttered or too simplisctic.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"Its the most simple model. It will get the job done, but understanding it conceptually can be a bit difficult","I didn't initlally think of making such a barebones model, the discussion in the class opened my mind to the possibility of reducing the problem down to its core.","This is the model that closest resembles the one that I chose. It has just enough information so that it is easily understandable, while being pretty quick to run as well","The discussion in class suggested one possible improvement to further improve the legibility of the model : replacing the Win and Lose labels to Team1 and Team2 labels to eliminate the possible pitfall of incorrectly assuming that win, win was the only favourable case","I don't like the ordering of the two events. While it does make sense in some way to put the game before the coin toss, it isn't the situation would play out in reality, and it puts a conceptual block",we didn't discuss this specific model in the class,2,1,3
77,"Yes, I was present and completed the NFL activity.",1,2,3,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,6,7,8,7,8,5,8,7,7,5,7,8,7,6,8,6,8,6,9,6,N/A.,"My chosen sampler relate to my personal narrative of this context, as I choose to simplify what the question is talking about and approach with the easiest way possible. ","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It appeals to me as it has the general idea of coin flip winner, but did not consider the team to win/lose after the coin flip. ",Talking about this device supported me as it gave me the basic step to start making  tinkerplot models to accurately copy the situation with fairness. ,,,,,,,
79,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,10,7,8,7,9,9,8,10,8,7,9,8,10,9,7,7,8,9,7,10,it functioned the same.,It relates because it shows how winning the coin flip correlates to winning or losing the game.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,The sample doesn't show the odds of winning the coin flip.,Talking about this device didn't support my learning in class because the sampler was wrong.,The sampler is good.,It helped a lot.,Wrong sample,bad.,2,1,3
80,"Yes, I was present and completed the NFL activity.",2,1,3,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,8,9,8,8,8,8,7,8,8,8,8,8,8,7,8,8,7,8,8,8,It didn't.,"I'm only concerned with the winner of the coin toss. So given that I'm looking at the winner of the coin toss, did they win or lose?","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",It didn't.,"Appeals: simple, straightforward
Doesn't: doesn't tell me which team won the coin toss.",Talking about this device helped me solidify the concept that we only care about who wins the coin toss.,"Appeals: better depiction of 2-stage scenario: coin toss and then game outcome
Doesn't: kind of clunky, too complex, can be simpler","Talking about this device again helped me solidify the concept that we are only concerned with who wins the coin toss, so we don't really need the coin_flip spinner.","Appeals: Not much really
Doesn't: it doesn't reflect the situation accurately: we want to know the result of the coin flip first, then, looking at who won the flip, if they won the game.",Talking about this device helped me better understand the situation that I was simulating.,1,2,3
83,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,9,5,3,9,6,8,7,5,6,8,3,1,4,6,2,6,6,9,6,6,"We just had different labels like win coin toss and lose coin toss, otherwise it was the same. ","The sampler represents a two-step random process: first a coin flip, then a game outcome. This relates closely to my experience as a basketball player. Before each game, there’s a jump ball to decide who gets the first possession. It doesn’t determine the game, but it can set the tone. In the same way, this sampler shows that while chance (like the coin flip) plays a role, the final outcome (winning or losing the game) still depends on performance and effort.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",Since regardless either thing had 25% chance of win and there were 2 win and 2 losses it was anyways 50/50%. ,"It's simple and easy to understand, covering the major requirements. ",Talking about this device helped me understand that this model works perfectly well. ,This has 2 separate wheels making it a bit more complicated to understand and you don't get to know which team wins. ,It showed how clear labelling and sometimes excessive collection may not be favorable. ,"It doesn't tell which team wins, but it does the job and gives a fair model. ",It helped me learn how to understand that a model may work but not be clear in its labelling. ,3,2,1
84,"Yes, I was present and completed the NFL activity.",3,2,1,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,9,7,10,8,9,9,10,9,8,8,8,8,8,8,8,9,9,9,7,7,,I wanted to see how the winning team would perform as I have seen before winning teams often be the ones who won the coinflip. ,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,It seems simple but it does not account for the coinflip. ,Talking about this showed how we need to care about the coinflip too. ,"It is sequential in the way games normally are and accounts for both the coinflip and winning or losing, but may lack a little simplicity. ","This device in my opinion was optimal so we chose it, and talking about it helped me plan future samplers. ",Both the coinflip and the winner or loser being accounted for appeals to me but it not being sequential in the way games are does not. ,This device showed how everything could be accounted for but a better device is still possible. ,3,1,2
85,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,9,9,9,7,9,5,5,6,5,6,6,10,7,8,7,7,7,8,9,10,,"I imagined this activity as 2 steps: first the coin flip, then the game win, so I chose to have 2 samplers with each representing a step.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"I like how simple it is, but I also dont like how it is just one spin for 2 different win/lose scenarios.","It supports the idea we learned of how no advantage would give everything 50/50 chance, but it also is too condensed to where it is no longer very informational.","I feel like this was a very straightforward approach to the situation, so I like how easily it can be interpreted.","It supported the idea of first flipping a coin, and then finding out which team won/lost the game. ",I do not like how it is mirrored since the coin flip should come before the game win/loss.,"It still has the same idea of the chances being 50/50, but I feel like it is backwards of what it should be.",2,1,3
91,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,10,9,5,8,7,7,6,7,7,4,6,7,8,8,9,9,9,9,8,,We wanted to take the most straight forward approach. There would be a winner and loser for each thing and both were 50% outcomes. ,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.","We used one spinner with a draw two, the first ""coin flip"", the second ""game"". The spinners were split into team 1 and team 2. Whichever the spinner landed on represented that team winning the respective category. The repeat was 428 to represent each game that went overtime.",I like how one outcome is already set and therefor only uses one spinner. It could be improved by using team 1 and team 2 labels instead of win and lose.,"I hadn't thought of this sampler. At first it didn't make sense to me, but as it was explained I saw how this would work.",This seems straight forward and makes the most sense in my head. I think how it only uses two spinners as well. I think it could be improved by changing the labels to team 1 and team 2.,"This was the approach I did at first, it was validating to see my solution was correct.",I like how it is only two spinners and follows the path of logic I first thought. I think it could be improved by changing the labels to team 1 and team 2 instead of win and lose.,This affirmed my thinking. ,2,1,3
93,"Yes, I was present and completed the NFL activity.",1,3,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,10,10,10,10,10,6,7,6,6,5,7,10,10,10,10,7,10,10,10,10,N/A,I personally thought of it as 2 chances of a 50/50. The first one decided the winner of the coin toss and the second one decided the winner of the game. ,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",N/A,It is 50/50 and represents the odds of the game winning but does not address the coin toss.,This made me realize my spinner with the single branch and another spinner that decided the winner of the coin toss was correct and made sense. ,It addressed all components of the simulation (winner of game and coin toss).,N/A this was my original idea ,The labels are well written ,The spinner labels were more clear than mine and I changed mine after discussing this device,3,1,2
94,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,9,8,7,9,8,8,7,10,8,9,8,8,9,9,9,8,8,8,8,9,,"IT makes sense to see which team won the coin toss, and then which team as a result of that won the footbal game.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"its a simple approach, but it doesnt tell us whether they won the coin flip",SUpported my learning by aggreeing that its not the most optimal way,Appeals because it tests both outcomes--both the winner of coin flip and winner of game,it backed up my assumptions on what should be the model,Great model: it covers all bases,it supported my idea for a model,3,1,2
97,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,7,7,6,7,7,8,8,8,6,8,7,8,8,7,8,7,8,8,,It was the easiest for me to visualize the data.,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"How it is simplistic, but it also may not give all the infromation needed for the assignment. ",It did support my learning because it gave me the percentage point for the percentage I was looking for. ,"It is simple, shows a clear difference between who won and who did not. ",It helped because it showed each outcome of the question. ,N/a,N/a,2,1,3
98,"Yes, I was present and completed the NFL activity.",3,1,2,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,9,9,7,9,9,8,7,8,8,9,7,9,8,8,8,8,8,8,8,9,,I understood the question as asking for running a fair trial of a coin flip between two teams. ,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"This sampler was appealing to me because it would show how often it was that the winner of the coin flip game, also won the actual game against the second team. It isn't appealing at the same time, because it infers that one team is winning the coin flip each time. ","Talking about device in class helped me understand that you can input mulitple spinners within the plot which allows for an individual to run a trial to see who wins the first game and based off the first game, who will win the second game, however while also being independent of the first game. ","This sampler appeals to me because both trials are independent of one another, within the plot, it looks like the game outcome is dependent on the coin toss winner, however that is not the case. What doesn't appeal to me is the way the spinners are formatted in the plot, it looks confusing, and can be easy to assume that they are dependent. ",Talking about this device supported my learning in class by understanding the way that the spinners can be formatted in the plot to be independent of one another. ,This sampler does not appeal to me because it seems like the game outcome comes before the coin flip toss which makes no sense as it's not in chronological order. ,"Talking about this device helped me understand that by displaying percentages of 50% on both win and lose sides, both sides have a fair outcome of being chosen.",2,1,3
101,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,5,6,8,3,4,3,4,4,3,5,4,3,8,5,5,4,3,4,5,5,"Labels were different from the one we chose because we had the first spinner choose which team won the coin toss, and the second spinner chose who won the game",We wanted to know specifics about the win conditions and thus chose this model,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.","Again, we decided that we would have 2 spinners choosing between team 1 and team 2, one to choose who won the coinflip and one to choose who won the game.","It doesn't appeal to me that this sampler requires more interpretation than I am used to (although it only requires slightly more thought during interpretation). However, I can appreciate the fact that only one spinner is used, as that results in lower computational time and thus a faster simulation. ",It did support my learning because I initially didn't understand the logic behind this sampler. Discussion helped me realize this logic and helped me appreciate this type of sampler. ,"I like how simple it is to interpret results, but I don't like that there are 2 spinners (which may make analysis and computational time a bit longer",Talking about this device only affirmed my thoughts about this spinner as we constructed a similar type of sampler only with different names and meanings.,"Again, I like that this sampler has clearer initial results and I dont like that the 2 spinners may result in harder computational time and also some more difficulty during analysis",Talking about this device only reaffirmed my choice of sampler. It helped in a sense that it gave me a sense that I was right.,3,1,2
102,"Yes, I was present and completed the NFL activity.",3,1,2,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,4,2,10,4,2,8,8,8,7,6,5,5,8,8,6,2,5,2,5,2,My initial sampler is exactly the same as the one I chose above.,"For this problem we want to see whether or not the team won coin flip has higher chance of winning, so we just need to see the team won coin flip and check are they winning or not.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",The function is actually the same but I changed the name of the two sections on the spinner so it shows the status of the team won coin flip more clearly.,I like this one because it's easy to understand. But maybe it feels a little too basic and does not show much detail.,"Talking about it in class helped me understand how the coin flip relates to winning and losing, so it supported my learning.",I like this sampler because it clearly shows both the coin flip and the game result. There's nothing bad with this one for me.,"Talking about this device in class helped me see each step clearly, so it made the idea easier to understand.",I like this sampler because it shows both the coin flip and the game outcome. But maybe it's a little confusing since both spinners look very similar.,"Talking about this device in class helped me understand how the two parts connect, so it supported my learning.",1,2,3
103,"Yes, I was present and completed the NFL activity.",1,3,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,2,5,3,0,5,3,6,10,8,5,10,1,0,7,10,10,3,6,7,5,,This one is straightforward and explicitly displays the relation between winning a coin toss and winning the game.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,Its simplicity appeals to me as it is much more easier than my sampler and also gave results in a more explicit way.,It helps me learn about the results and relation between winning coin tosses and winning games.,This is the one we chose for our activity. This has more flexibility compared to the previous one and the outcomes of win or lose covers all the results in a simple way.,We chose the sampler and it was the most helpful for us to learn about the distribution and p-value.,"I think this is a bit against the rational sense when sampling the game outcomes before the coin flips. However, the results are independent upon assumptions  which is indeed a proper sampler.",I did not think about this device in class.,2,1,3
104,"Yes, I was present and completed the NFL activity.",3,1,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,6,8,7,7,8,8,9,9,9,7,7,8,8,7,8,7,6,7,7,,"In this scenario, one of two equally-probable outcomes is chosen for the coin flip. Next, the winner of the overtime match is determined by one of two also equally-probable results.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"The sampler's simplicity is its appeal, but that also may lead to results with insufficient detail.",Talking about this device reinforced my understanding of how to effectively model a coin flip in statistical software.,"This device accurately depicts the main attributes of every outcome in the scenario. However, I'd prefer to label the outcomes ""Team 1"" and ""Team 2"" to discern which team is favored for each outcome.",Talking about this device reinforced my understanding of how to link two models to simulate an experiment with multiple factors influencing the final outcome.,"This sampler includes both factors in the scenario that influence the outcome, but I disagree with the order of the devices.","Again, talking about this device helped me better understand how and why to link models in statistical software.",3,1,2
106,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,10,8,10,10,10,10,10,9,9,9,10,10,9,9,10,10,10,9,8,10,,"Although it was possible to model the scenario with a single spinner, as a group, we collectively decided to have two spinners with different attribute names in order to make the trial outcomes clearer for us, but also for others. ","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"Immediately, the simplicity of the model appeals to me; the variable outcomes of the game winner and game loser are explicit, and the attribute title of the spinner is obvious while providing context to the scenario.","While discussing the various models in class, the answers and ideas supported my learning, as I was able to embed myself in others' perspectives and gain insights I wouldn't have initially. ",The model above is similar to the model we utilized; the distinction between the Coin_Flip and Game_Outcome spinners accounts for the condition of the coin flip and directly leads to the game outcome. ,"Discussing this model supported my learning in the classroom, as we were able to gain insights from other perspectives surrounding our model; for example, a student claimed the distinction between two spinners confused them, but in our case, it seemed clearer. ","The modeling of two distinct spinners surrounding the Game_Outcome and Coin_Flip appeals to me as it shares a quality of our model; however, having the Game_Outcome spinner to the left as opposed to the right makes it seem as though the coin is flipped after the game is over, which is false. ","It was indifferent in my case, as we already discussed the prior model with two connected spinners.",2,1,3
109,"No, I was not present, but I have worked through this activity on my own.",2,3,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,4,6,8,7,7,6,8,7,5,7,9,9,8,9,7,4,7,5,7,I added three spinner one is the coin flip and others activated based on the result of coin flip.,"To see a complete visual, I believe that the other two spinners should spin based on the coin flip result.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",The secondary spinner should spin based on the result in coin flip result so there should be total 3 spinners.,This does no actually shows the researcher a explanatory visual.,.,This sampler do explain how the trials are being performed so appealling.,.,I believe that the coin flip should performed ahead because it is how real world example are being performed so this sampler doesn't appeal to me that much.,.,3,1,2
112,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,9,8,8,8,9,7,7,9,7,6,7,7,8,8,8,9,9,8,9,9,,"The first spinner represents the outcome of the coin toss, and the second spinner represents the outcome of the game. ","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.","Our sampler had draw 2 instead of 1, and the options were team 1 and team 2 instead of win/lose","Appealing because it is simple, but unappealing because it does not correctly model the situation (only draw 1 instead of draw 2)","Talking about this in class helped me see other options, both good and bad","I like this sampler, and it is the one that I initially thought to use. The only thing that I find unappealing is that it unnecessarily has two spinners. ",Talking about it in class confirmed that it is a possible way to model the situation. ,"This is basically the same thing as the previous sampler, just with the order of the the spinners switched. This is odd because it doesn't match the order the events would occur in real life (the coin flip would happen before the final outcome of the game) but this order does not make any difference in this specific model, and it functions the same way as the previous sampler. ",I don't remember talking about this device in class. ,3,1,2
113,"Yes, I was present and completed the NFL activity.",3,1,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,7,7,6,6,6,8,8,7,6,4,8,6,8,9,5,7,9,7,7,"Instead of labelling the outcomes as ""Win"" or ""Lose,"" I entered them as ""Team A"" and ""Team B"" for more specificity on the outcome of the coin flip and game results.",Easier to distinguish the outcome of the two events,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.","Same response as earlier. If I label both 50/50% spinners with ""Team A"" and ""Team B,"" it's much easier to determine the actual result of both trials.","Correct probabilities, but it needs to be labelled with ""Team A"" and ""Team B"" in order to specify what the outcome of the coin flip is.","Just like last week, always good practice setting up and experimenting with the sampler project.","I swear I already answered this....but the series of two samplers 50/50% samplers is a good idea, but they need to have ""Team A"" or ""Team B"" instead in order to specify the outcome of both the coin flip and the game result.","Did not, since we already learned how to set up the sampler.",The coin flip sampler should be in front of the game outcome one. Also the run speed for the samplers should be as fast as possible.,Nothing more to add that hasn't already been inputted into this form.,3,1,2
116,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,6,5,8,9,3,3,2,5,3,3,3,6,7,3,6,6,4,6,8,6,,Each spinner can represent a situation where one coin represents a situation and one coin represents the result of the game. This is clear to interpret the result.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It shows clearly the meaning of each option in the spinner. However, it does not show the probability for each case.",It helps me to understand more about how to improve it and gain a deeper understanding of the spinner.,"It is clearly shown for two results, where one represents the coin and the other represents the game outcome, with both meaning and probability. However, we cannot know whether it is team 1 or team 2.",Different representations might have the same meaning but different understandings of the process. I learned that we can consider the same process from different perspectives.,"It also clearly shows the cases with probability and understandable notes. However, I prefer to keep the graph the same as the process in the game, which means first do the coin flip and then do the win and lose, so that it better explains whether the coin flip will affect the result of the game.",It helps me to understand that the sequence of the spinner is significant to the interpretation of the process that needs to be aligned with what we want.,2,1,3
