Anonymous ID,Were you present for class on 9/10?,Select the Sampler which most closely aligns with your initial approach (at the end of part a) to modeling the amount of hearts obtained within a hand of 10 cards.,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 3B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
47,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,We only care about hearts and non-hearts so that's all you need to track.,"A single device with two options: heart or not heart, sampled without replacement. ",,"Appeal: It functions perfectly fine.
No Appeal: It keeps track of what specific suit is obtained from each draw, which is unnecessary information.","We recognized that the specific suits did not need to be tracked in class, so they can be abandoned in favor of an approach that is a yes/no question. In other words, we only need to track whether the card is a heart or not.",Appeal: It is the ideal drawer for the hearts problem.,We talked about how this is one of the most ideal solutions for solving the problem.,"Appeal: Keeps track of which specific card is obtained.
No Appeal: Exactly the above. It isn't necessary to solve the hearts problem.",We talked about how trying to get each specific card is an unnecessary level of detail that doesn't need to be tracked in our simulation of drawing for hearts.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,I chose the idea that was the both the easiest to understand from my behalf and the efficiency of creating the simulation,A single device with all four suits sampled without replacement. ,,"It appeals how we get to see the 4 different types of cards in a 52 card deck. However, this doesn't get down to the specifics like what color or number the card was if we have to select it.",It did support because the goal was to differentiate the number of cards that were hearts and that type of setup go the job done.,it is really simple and gets straight to the point. This is either a yes or no question whether or not it was a heart.,it did support since we only needed to know the number of hearts that was selected,I like how specific this was and we got to see the numbers and the exact card.,I felt like the right side was unnecessary since all we needed to find was the number of hearts only rather than the numbers,6,9,9,8,6,6,5,8,9,6,8,6,4,5,5,6,7,7,7,7
49,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"We can see everytime a heart card is drawn, and it doesn't matter what specific card it is as long as it is a heart.",A single device with all four suits sampled without replacement. ,,It appeals because it considers all suits and 13 opportunities for each suit. It also did not have replacement and was easy to understand visually. A downside of this form would be that we cannot see which card exactly is being drawn.,Talking about this in class helped clarity on what the stack sampler means.,"This device tells you what you need to know, I just did not want to think about adding that many boxes, nor did I think about doing it this way.",I did not recall discussing this modality in class.,"I like how this sampler depicts a deck of cards in-depth, given each suite has 13 different types of cards. This did not appeal to me for this activity, however, because we did not need to identify the specific type of card, other than if it was hearts or not.","This class helped me better understand what I can run in a situation asking for more specific qualifications (for example, How many 5's of any suit would I expect, and so on).",8,8,8,5,8,3,3,3,3,3,4,5,5,5,3,8,6,8,8,8
51,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"My chosen sampler resembled the option I picked because that option allowed me to select 10 cards out of a 52 deck at random, without putting the cards back into the deck. ","A single device with two options: heart or not heart, sampled without replacement. ",,"What appeals to me about this device is how there are four groups to resemble the four different cards, 10 repeat, and 1 draw, as well as 13 stacks in each group. The without replacement also appeals to me. What doesn't appeal is how we are unsure of what exactly the sample is measuring. ",Talking about this device supported me in class by teaching me more about probabilities and how to use tinkerplots.,"The 10 repeat, 1 draw, 52 total, without replacement, and two groups all appeal to me. Not knowing what the device is measuring does not appeal to me. ",This device taught me the likelihood of receiving a specific card at 25% odds. ,"I like how the draw is 2, repeat is 10, the sample is without replacement, and it determines the value of the card. I do not like how this sample adds the faces of the cards.",This device did not really support me at all because all it changed was distinguishing what the number of value of the card was. ,8,8,8,8,9,9,9,9,8,8,8,8,8,9,10,8,7,9,9,9
53,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"I chose the sampler with all four suits at first because it matched my intuition of modeling a deck of cards. I knew to ignore the values of the actual cards, but did not think to combine all other non-heart suits into one category upon first consideration.","A single device with two options: heart or not heart, sampled without replacement. ",,"It appeals to me because it makes the most immediate intuitional sense when thinking about a deck of cards and wanting to know what suit a drawn card is. It is unappealing in the sense that we are only interested in whether or not a card is a heart, so the other three suits being classified differently is kind of counterproductive and makes the data collection in our case harder.",It supported my learning because it made me realize that I have to focus more on collecting only the data that I am interested in and can ignore everything else. I was centered too much on making the sampler similar to real-life that I neglected to consider how it might affect the results and ease of data collection.,It appeals to me because it is much simpler than having every suit and focuses only on the data that we want to collect. It is unappealing because it does not at first impression represent a deck of cards as much as the other sampler. ,It supported my learning in class because it showed me that samplers should be as simple as possible to make the data observation easiest. It also helped me learn to isolate the important variables and ignore everything else if it is not important to the final goal.,It appeals to me because it stimulates a full deck of cards in detail. It is unappealing because for our purposes it is very overcomplicated.,It supported my learning in class because it made me realize that detail is not always beneficial and is sometimes excessive and unnecessary for data collection.,6,8,8,5,4,6,8,8,7,7,9,4,5,8,7,7,5,8,6,7
54,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,The sampler is first able to pick a suit and then the rank of the card while making sure the same card does not get picked more than once to accurately simulate a deck of cards in real life. ,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,What is appealing is that the sampler is able to accurately choose the suit of the drawn card without replacement. What isn't appealing is that the sampler cannot determine what the rank of the drawn card is. ,It taught me that samplers may need multiple parts/aspects in order to accurately model a desired sampling method. ,"The sampler is able to accurately show the total number of cards and determine whether the card drawn is heart or not. However, the sample is unable to determine the rank of the card nor the suit of the card if it isn't a heart. ",It was able to show how showing the results of the variable we are not interested in can still make the sampler better. ,"The sampler is able to accurately choose the suit of the card as well as the rank of the card, while also making sure the same card isn't drawn twice. ",This example was able to show how complex sampler may be just to accurately model a simple task such as drawing ten cards from a deck. ,9,8,9,9,8,9,8,8,8,7,8,9,9,9,9,8,9,8,8,9
55,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,/,?,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,It appeals the four suit of cards but it doesn't appeal the points of cards. ,The draw means the characteristics of the chosen samples ,It appeals the two kinds of suits: Heart and Not Heart ,This will show the two kinds of the samples' suits which is more easily to understood than four different suits,It appeals the suits and cards' points to me. ,The form of mixers is more sophisticated than that of Stacks. ,8,6,10,8,3,5,6,10,7,8,7,3,7,8,3,8,3,10,7,3
56,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,"Other samplers assume replacement, but the card sampler works without replacement, so the probabilities change after each draw.","It matches drawing 10 cards from a real deck and counting hearts, since the cards are not replaced in the process.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It’s clear and shows suits well, but it doesn’t include card values.",It helped me see how probability changes without replacement.,"It’s simple and clear, but only shows hearts vs. not hearts.",It made probability without replacement easier to see.,full detail of both suits and values,It helped me see how probabilities build step by step with suits and values.,5,5,7,6,7,7,6,7,7,7,5,7,7,6,7,7,6,6,7,6
57,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,"If you initially considered a two-step sampler—first sampling suits without replacement and then sampling values without replacement—this approach might not fully replicate the deck’s composition because the suits and values are interdependent. However, the mixer with 52 balls ensures each card is equally likely and unique.","I initially imagined physically drawing cards from a shuffled deck, so the 52-ball mixer directly mirrors that process. It feels intuitive because each ball represents a actual card, making it easy to track hearts.",A single device with all four suits sampled without replacement. ,,"Simple and focused，Accurate sampling method，Clear visual design
Too simplistic，Risk of inaccuracy, Inflexible",It likely helped emphasize the importance of matching the sampler to the simulation goal. Comparing it to other samplers would clarify trade-offs between simplicity and accuracy.,"Extreme Simplicity, Efficiency, Accurate Proportions
Over-Simplification,Lacks Realism","Without guidance, students might not realize the limitations of this sampler and could mistakenly use it for inappropriate contexts. They might miss the deeper lesson about how model design affects conclusions.","Accurate Proportions
Inflexibility","Students might overlook the sampler’s limitations and assume it is universally applicable. Without guidance, they could miss the deeper lesson about how model choice influences results and the need to critically evaluate tools based on context.",7,7,8,7,5,7,8,7,7,7,8,7,7,7,8,7,6,7,6,7
59,"Yes, I was present and completed the Coins/Cards activity.",I did not have a well-formed idea initially.,N/A,N/A,"I originally used a sampler with 2 spinners, with 1 spinner assigning the suit, and 1 assigning the value of the card. ","It also accurately gave out 10 cards, but essentially it would be drawing the cards with replacement, where you draw a card but shuffle it back into the deck before drawing another one.",A single device with all four suits sampled without replacement. ,,"Functionally, it is quite simple, with only 1 element, and it is also visually appealing. One part that doesn't appeal to me is that it takes away from the realism of the device, as each time you draw a ""card"" it doesn't have a value.","This supported my learning, as it helped me understand the importance of replacement, and how to simulate devices with and without replacement","One part that appeals is that its simple, and only has enough elements for the sole purpose of determining if a card drawn is a heart or not. It doesn't appeal to me in that it seems quite crude.",This helped my learning in that it showed how to efficiently get statistics for only 1 variable.,"This appeals to me in that each card drawn has both a suit and value, making it the most realistic. However, it is also quite messy, and can be time consuming to make.","This helped the most in visualising how the device is drawing cards, as it is functionally equivalent to drawing from a deck of 52 cards.",6,6,6,9,7,7,8,8,8,6,5,7,5,7,8,7,6,8,6,8
61,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"I am a relatively organized person, so I will choose this sampler that looks very orderly and neat.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,What appeals me is that it’s really organized and you can tell the number of each symbol at first glance.,Talking about this device help me visualize how each round of sample is selected and the relationship between elements,I think it’s making things more complicated ,I think it’s not that useful and not making things easier to understand ,It is organized and visually shows the relationship between elements,It’s helpful because it helps me visualize the relationship between elements and how samples are drawn ,8,8,9,7,5,6,6,8,5,8,6,6,7,6,5,6,6,7,4,8
62,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,What was most intuitive to me was first picking a Suit and then picking a number.,"A single device with two options: heart or not heart, sampled without replacement. ",,You are not able to extract the number of the card.,We needed to encode more information in the sampler.,This was most intuitive to me because it just laid out the problem into the most simple parts: Heart and Not Heart.,I learned that you did not even need to worry about the numbers on the cards like this.,"This sampler looks correct, the part that doesn't appeal to me is actually building it out.",I learned that there was a better way to do this.,5,5,5,3,5,7,7,9,8,6,7,8,7,9,7,6,5,5,8,6
63,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,My sampler did not differ from the one I chose above.,"My group selected ""without replacement"" because once a card is drawn, it should not be drawn again for the probability experiment. ",A single device with all four suits sampled without replacement. ,My sampler did not differ,"The ability for the ""stacks"" option to separate the four suits appeals to me. Nothing did not appeal to me once I was able to understand how to use ""stacks.""",Talking about this device helped me learn how to use stacks to organize data regarding a deck of 52 cards. ,"Appealing aspect - The separation of data
Unappealing aspect - The usage of stacks instead of bars",I don't recall the class talking about this device when referring to the example above. ,"Appealing aspect - the division of suits, followed by the division of numbers within each suit
Unappealing aspect - nothing",I learned how to separate categories and its subcategories. ,8,9,7,7,7,7,6,7,6,5,5,8,7,6,5,6,8,5,6,7
64,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,This was the simplest way to solve it and most effective,A single device with all four suits sampled without replacement. ,,"It us very efficient and does not require any additional calculations 
",It helped a lot as it showed how to solve it quickly ,This doesn't segregate each card and doesn't feel efficient ,It was still useful to see another perspective ,This sampler perfectly narrows down what specific card is picked,This made it very useful and easy to narrow down the cards,7,10,5,7,8,8,7,10,10,10,6,8,8,9,8,7,8,7,7,10
65,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,It mimics picking cards in real life because you can only pick one card that has a suit and certain number. It is less work than writing every single card though. ,"A single device with two options: heart or not heart, sampled without replacement. ",,You can pick cards and keep track of the suit which is good in questions where the number doesn't matter. If number does matter then this is not a good sampler because there is no way to keep track of the number. ,I learned the different ways to simulate a certain situation and I also realized you don't need to exactly mimic real life in certain cases like for example when we only had to keep track of how many hearts we got.,It is good in a scenario where you only need to keep track of hearts but in any other case it is not that useful. ,When this device was explained I found it to be the most convenient for the problem we were dealing with and decided to use it. ,This is a very realistic model and is good to pick specific cards. It is a lot of extra work though if your problem doesn't require this level of accuracy.,This was the model I initially came up with so when I realized I didn't need to be this specific I decided to change it. ,8,8,7,7,7,7,5,6,7,7,8,7,8,7,7,8,7,9,8,8
66,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"I think in a traditional deck of cards, there are 4 suits each consisting of 13 different cards. In my mind, to best simulate drawing a hand of 10 cards from a full deck, I chose a sampler that organized based on suit and drew without replacement, as in a traditional dealing you wouldn't put the cards back after drawing them.",A single device with all four suits sampled without replacement. ,,"I really like how it simulates how a deck looks and is also organized based on suit, like a regular deck of cards. I also like that it draws without replacement, as that is a traditional way of dealing. The only thing that didn't necessarily appeal to me was the complexity, it was a little overcomplicated because the only thing we were looking for were hearts, not all suits.",It really helped me understand probability and what running a trial 100 times brings the distribution closer to the true accuracy. ,"I like how simple it is, and that it only gives you the information you need to complete the assignment. I guess I don't love how it doesn't really look like a deck of cards. ","It helped simplify the essence of drawing cards, and it made the plots a lot easier to look at for sure. I also had an easier time organizing the data, which I thought really supported my learning.","It's definitely the most accurate sampler; it feels like I'm actually drawing from a deck of cards to see how many hearts I would be getting. I guess I didn't really like how complicated it was, especially since we're only really concerned about the suit.","I don't know if this device really supported my learning due to the overcomplication, but I like how it displayed sequential sampling.",7,5,5,6,7,6,5,7,6,5,7,9,8,8,8,8,6,8,7,8
67,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,n/a,I think of the deck broken up by suit,A single device with all four suits sampled without replacement. ,n/a,,,,,,,9,10,10,9,7,8,7,8,8,7,8,7,7,7,5,8,8,7,8,10
70,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"I think the question asks us to find the chance of getting the heart, so it is easy for us to just have two categories: heart and not heart.","A single device with two options: heart or not heart, sampled without replacement. ",,It appeals to me that everything is clear and correct. ,It helped my learning as it made me clear what the situation was.,It appeals to me as it is easy to follow.,I helped my learning as I know that only a quarter of the cards are hearts.,"This seems too complicated, and I believe there is no need to be like this if we just want 10 from them.",It helped my learning as it shows to me what the process is.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
73,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,"It made sense, i am used to thinking in squence though the sampler with 13 hearts 39 not hearts was most elegant","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,too simple,"didnt, didnt pay too much attention to it",it simplicity. Nothing was unappealing,"it helped me understand that sometimes, the simplest solutions often yeild the best results since in B our sampler would not have worked as well without significant effort compared to hearts and not hearts",We did this.,"It made sense since we explicitly solved the ""match"" problem",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
74,"No, I was not present, but I have worked through this activity on my own.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,It was a dot plot and we did it with replacement,"Since we just needed to find the amount of hearts, all other cards could be lumped into not hearts","A single device with two options: heart or not heart, sampled without replacement. ",We did with replacement but two categories.,I like that it has everything labeled accurately with the correct amount of cards for each but I prefer two categories if hearts are the only part we are measuring.,I had trouble relating it to the concept we were discussing,I like that its more simple. Only gives the information I need.,I got a bit confused because I am not the best at computer programs,Its a bit overwhelming but it shows exactly how each card draw went.,In class I was lost at this point tbh,8,8,9,7,9,8,8,7,8,7,8,9,7,8,9,8,8,9,8,8
75,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"The question was asking if 10 cards were drawn from a deck, how many of those cards would be hearts, so I made a stack with 4 sections of 13 each, representing the 4 suits and 13 cards in each suit, in order to demonstrate how many hearts would be drawn when 10 cards a drawn from a deck.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"Something about this sampler that appeals to me is that it will clearly and accurately demonstrate the number of hearts drawn from a deck. Something that doesn't appeal to me about this sampler is that it doesn't show which exact card is drawn, all it shows is the suit of the card drawn. ","Talking about this sampler in class helped me because when reading the question at first, I made this sampler because the question never mentioned finding an exact card, just the suit, so that thought never crossed my mind until we spoke about it in class. ","This sampler will answer the question accurately of how many hearts will be drawn from a deck. However, this sampler is solely focusing on the heart cards, and doesn't regard any of the other suits or cards. ","Talking about this device in class didn't really support me because I didn't use this sampler, so the discussion didn't apply to me. However, it was interesting to see the other ways of making a sampler for this question. ","This device demonstrates accurately the number of hearts getting drawn, and it also demonstrates the exact card getting drawn, so I think this device is the perfect one. ","Talking about this device helped my learning in class because this device demonstrates perfectly the exact card drawn from a deck, and it is pretty simple to make. At first, I didn't think too much about the card being drawn just the suit, but discussion this device in class made me realize that the card number would be an important thing to take into account. ",5,6,7,4,5,7,7,7,7,5,2,4,7,4,7,6,7,5,7,7
76,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"Since we wanted to find the number of hearts that were drawn when you draw 10 cards, it made the most sense to divide the cards into suits, and track the number of hearts",A single device with all four suits sampled without replacement. ,,"It models the suits in a deck of cards perfectly; since we did not need to track the value of the card, only the suit, there was no need to add another layer of complexity.","Talking about this model in class reinforced my intuition about how additional detail wasnt necessary for the problem at hand. An even more simplistic model, just hearts and not hearts, would also have sufficed for the purposes of tracking the number of hearts drawn.","The model is extremely simple and functional. Since we needed to track only the amount of hearts that were drawn, we didnt need to check what other suits were drawn.","I hadn't initially thought of making this model, the 4 suits one was the first thing that struck me. On hearing this model being discussed, I was opened to the possibility of making the models even simpler","This is the most accurate representation of drawing cards from an actual deck. It tracks both the suit and the number on the card. The downside is that it is comparatively slow to repeat, especially over a large number of either repetitions or trials. If we were sampling say 1000 repetitions of 100 draws of 10, it would be considerably slower than the more basic models.","I hadnt thought of going into so much detail for the purposes of the question. I realised that this kind of model would be slower over large numbers of repetitions, so it wouldnt be efficient.",5,3,8,6,8,3,4,9,7,4,8,9,6,9,9,9,8,8,8,7
77,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"I like it simple, nothing such complicated. I learnt this method during class, so I just went right with it. ",A single device with all four suits sampled without replacement. ,,"It appeals to me, because I used this exact method to do the question. This is appealing as it contains all the information needed. ",It did support my learning in class because I had a better idea on how I utilized statistical methods to come up with an solution. ,I don't like the way it is too simple and there are way too many selections ahead. ,"This also supports it, but I prefer the last one more. ",It appeals me as it had much more detail and referred to a real deck of cards. ,It did support my learning as I was able to learn there are advanced ways to solve a statistical problem.,6,7,8,7,8,5,8,7,7,5,7,8,7,6,8,6,8,6,9,6
79,"Yes, I was present and completed the Coins/Cards activity.","A mixer with 52 balls sampled without replacement, where each ball has a two-character label to signify both suit and value.",4,1,,selecting 10 cards from 52 without replacement is like selected 10 mixed balls.,"A single device with two options: heart or not heart, sampled without replacement. ",,It's organized by suite and it is very clear.,Talking about the device supported my learning in the class so that I could understand what this meant.,Two sections: One with heart and one without.,It did because it was easy for me to be able to distinguish between the two.,This appeals to me because each part of the stack represents one of the corresponding balls in the mixer.,It did because now it is easy to track the exact card that was taken from this sample.,10,7,8,7,9,9,8,10,8,7,9,8,10,9,7,7,8,9,7,10
80,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"We did four columns for the four suits, then 13 boxes per column because there are 13 cards in each suit. We sampled without replacement, because when you draw a card, you don't put it back into the deck.",A single device with all four suits sampled without replacement. ,,"Appeals: 4 suits, 13 cards per suit, no replacement
Not appeal: the individual cards themselves are sorted and not randomized like in a real deck.",Talking about this device helped my solidify my understanding of why I chose this model to simulate drawing from a deck of cards and helped me better understand strategies for how to choose models to simulate real-world events.,"Appeal: It's pretty easy to keep track of the important data: drawing a heart/no heart.
Doesn't: I don't know if this is correct, but the two columns suggest that there might be a 50/50 chance of drawing a heart/not.","Talking about this device helped me explore a new way to model a real-world event, giving me new ideas for statistical models.","Appeal: You can actually see which number/royalty you draw!
Doesn't: It's in two parts, which seems a bit janky.",Talking about this device gave me yet another model for modeling real world events and helped me better understand the differences between potential models.,8,9,8,8,8,8,7,8,8,8,8,8,8,7,8,8,7,8,8,8
81,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"I know that there are 13 cards for each suit, so I aligned the stacks with 13 for each suit and drew 10 cards from there.",A single device with all four suits sampled without replacement. ,,The sampler is simple and easy to understand. Nothing doesn't appeal to me. ,It allowed me to understand a lot about sampling with/without replacement and probability.,"We are able to simply categorize into two groups, which makes the overall distribution/plot easier to view. If we wanted to be more specific, it would be much harder to do that.",It showed me how probability works. ,"We are able to see every single card in the deck that is being drawn. However, it is a little too complex for the problem we were doing. ",It aided in showing how every card drawn is independent from each other.,8,6,8,7,6,7,6,6,7,8,6,6,7,7,8,8,6,9,7,6
84,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"I play with cards sometimes and use the suits to determine which card is what suit, so I chose to sample it with each card having a suit. ",A single device with all four suits sampled without replacement. ,,"What appeals to me is how easy to understand the data is, but what does not appeal to me is that if we are only trying to observe one suit it can be made simpler. ",Talking about this device in the class supported my learning by teaching me about how different ways can be used to sample the same thing sometimes. ,"What does not appeal to me is how the other data is unknown, but the simplicity of the sampler appeals to me. ",This device felt almost like a coinflip and talking about this device showed how data could be sampled more simply. ,This device does not appeal to me much as it seems overly complex but it does show how multiple things can be sampled. ,Talking about this device showed how different things can be sampled differently rather than having to combine them to make one category. ,9,7,10,8,9,9,10,9,8,8,8,8,8,8,8,9,9,9,7,7
85,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"I choose a more simple sampler that was just ""hearts"" or ""no hearts"" since I did not need the extra information that a more complex sampler would provide. I felt it was best to keep it as simple and intuitive as possible.","A single device with two options: heart or not heart, sampled without replacement. ",,I do like that it has all 4 of the suites as we can see which suite is being picked.,"It supported my learning by showing if hearts or other suites are being picked, just with the extra detail of knowing which of the other suites are being picked.","This appeals to me because of how simple it is. It gives you the most basic necessary information, if a card dealt is hearts or not. The only downside is that because it is so basic, you do not know what the non-heart suites are.",This supported my learning because of how intuitive and easy it was to understand. It showed a clear representation of what drawing without replacement would look like,"I like how detailed it is, though that is also a downside. It takes longer to set up, and for the questions we were asked it seems a bit unnecessary to do all the extra work.",It showed how we can first draw from a suite and then draw a specific card from that suite which I thought was pretty cool,9,9,9,7,9,5,5,6,5,6,6,10,7,8,7,7,7,8,9,10
87,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"The only thing that we care about is the suit of the cards. There are 4 options for suit, each containing 13 cards.",A single device with all four suits sampled without replacement. ,,"It's easy to see what the suits are, and how many cards are contained in each suit. The sampler also allowed us to sample without replacement.",It made me more aware of the options of the sampler (the ability to sample without replacement).,,,,,7,6,8,5,6,7,7,5,7,7,7,7,6,8,5,7,7,6,6,7
89,"Yes, I was present and completed the Coins/Cards activity.","A mixer with 52 balls sampled without replacement, where each ball has a two-character label to signify both suit and value.",4,1,,"It is almost the same sampler, expect the one in mine was just numbered 1-52.",A single device with all four suits sampled without replacement. ,,"It's neatly formatted, I can tell what I am looking at. There isn't anything that sticks out and doesn't appeal to me.",It helped me get a better understanding of not just tinker plots but also probability.,"It's clear, I can tell immediately from looking what the data is. Something that doesn't appeal to me is that I can't see the rest of the data in depth.",It supported me by being able to look and get an different approach of how this work could be done.,"Something in this sampler that appeals to me is the separation of the data, and how not everything is just bunched together. However, I do not like how the data is put into a mixer, it makes it harder to read.","I think this device connection confused me, as I said this one is a little harder to read making it not the easier for me to get an understanding.",9,7,8,9,10,10,10,10,10,9,10,10,8,9,10,10,9,9,10,10
91,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"I think my sampler was heavily influenced by a discrete math course I took last semester. We did problems set up like this, and being so fresh, this is the first that came to my mind.","A single device with two options: heart or not heart, sampled without replacement. ",,"I don't like how there are four stacks, it seems like it could take longer to set up. However, I like how clearly labeled the cards are, giving it room for more uses.",It gave me a new way of thinking about setting a device. I hadn't thought about it in this way.,"I like that it is simple, clear, and easy to set up. However, it is only functional for finding hearts which limits its use.",It validated my thoughts. ,This one seems too complex to set up and requires two systems and lots of labeling. It could be useful because of the amount of details though.,"This helped me think of how I could set up something more complex. For the use in class, I don't think I would choose this one, but it might be useful another time.",8,10,9,5,8,7,7,6,7,7,4,6,7,8,8,9,9,9,9,8
93,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,N/A,"I chose my sampler because it made the other suits, besides hearts, irrelevant. This is what the most useful sampler is in my opinion. ","A single device with two options: heart or not heart, sampled without replacement. ","I chose the first one but had 2 branches with the card values, A, 1-10, K, Q, J. ",It makes it clear what suit is chosen but also provides unneeded information as suits other than heart don't need to be given.,Talking about this in class and hearing ideas helped me incorporate them into my own model and make it better. ,This sampler is good as it doesn't give unnecessary information such as other suits. ,I used this method for my own and expanded on it when I was shown it and it was discussed. ,This device appeals to me as it contains all the suits and possible combinations of numbers and suits which makes it not possible to get repeat values or have serious errors. This device also gives unnecessary information like the suits beside hearts. ,Talking about this method helped me understand the concept better and apply it to my own device. ,10,10,10,10,10,6,7,6,6,5,7,10,10,10,10,7,10,10,10,10
94,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,I took this assignment in the context of 4 suits rather than 1 suit and 3 irrelevant suits. I also personally wanted to see the statistics of the other suits and see how it compares to that of the hearts.,A single device with all four suits sampled without replacement. ,,"What appeals to me is the ability to see other suits, however this may be considered irrelevant in a proper study.",It supported my learning in class because it backed up my idea of how to approach this stats problem,"What appeals to me is the focus on the hearts over the others. However, you cant see multiple suits' data.",It supported my learning by giving me an idea that i didnt think of,"I feel like this sampler dives too deep into the problem, with all suits and values being represented.","We did not talk much about this, but when we did i was confused on its relevance",9,8,7,9,8,8,7,10,8,9,8,8,9,9,9,8,8,8,8,9
97,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,N/A,"I tried to be as simplistic as possible, just so it was the clearest in order for me to understand fully. ",A single device with all four suits sampled without replacement. ,,"It was just the simplest in my eyes, nothing was that unappealing to me. It was very straightforward. ","Once I understood the assignment, it was very helpful to test out the probability rather than estimating, which I do not enjoy. ","I prefer to divide it by the suits, give an equal opportunity for all suits. It just feels less equal. ",I didn't use this device,Too complicated,I didn't use this device,8,8,7,7,6,7,7,8,8,8,6,8,7,8,8,7,8,7,8,8
