Anonymous ID,Were you present for class on 9/24?,Select the Sampler which most closely aligns with your initial approach to modeling Jasmine if she were randomly guessing the correct note the teacher played,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 5B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.",Which of the following samplers do you prefer more for generating data for the Music Notes scenario?,Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
57,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,"Since the probability of a student choosing one note from the 7 available notes is 1/7, the correct answer to this question is also 1/7. Therefore, the two 1/7 lists can clearly indicate the possibility of the result.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"This sample is very concise and clear. However, it does not list the two possibilities of students' answers and the teacher's answers.","Yes, it let me learn bars graph model","This sample is very clear and detailed, covering all possible scenarios of both the students' answers and the teachers' answers. But there is one point that is a bit complicated.","yes, since it is what i did.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",it did support since we only needed to know the number of hearts that was selected,I like how specific this was and we got to see the numbers and the exact card.,I felt like the right side was unnecessary since all we needed to find was the number of hearts only rather than the numbers,7,7,8,7,5,7,8,7,7,7,8,7,7,7,8,7,6,7,6,7
60,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,"yeah, we just made a sampler with a 14% chance of incorrect and 86% chance of correct.",it gave a 1/7 chance of having the right or wrong music note,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","it was a spinner, but it same idea of 1/7",it's only 2 different options,it helped understanding of what we were trying to do,It give possible outcomes,it creates complex outcomes when it's either right or wrong,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I did not recall discussing this modality in class.,"I like how this sampler depicts a deck of cards in-depth, given each suite has 13 different types of cards. This did not appeal to me for this activity, however, because we did not need to identify the specific type of card, other than if it was hearts or not.","This class helped me better understand what I can run in a situation asking for more specific qualifications (for example, How many 5's of any suit would I expect, and so on).",4,2,7,1,7,8,6,6,8,8,9,7,1,6,7,6,7,5,8,3
62,"Yes, I was present and completed the Music Notes activity.","A linked device with two mixers that first determines the teacher's played note, then uses a two-ball mixer to determine if the student is correct or not. ",4,1,We had a mixer with notes from A-G.,"We thought it would make sense to assume that the correct note was always A, and simulating a roll of notes from A-G. The probability of getting a note correct anyways was 1/7.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"This sampler appeals to me because it laid out the choices simply as ""correct"" and ""incorrect"". We liked that this gave us a binary choice.",We had actually swapped to this sampler afterwards.,"This sampler appears to work, but it is a bit overkill. It should not matter what the actual note is, just that the probability of getting a note right is A-G. Furthermore, doing this would require more work as you would need to match A-A, B-B, ... etc. pairs.",We had talked about this in class but we did not consider this model.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It supported my learning in class because it showed me that samplers should be as simple as possible to make the data observation easiest. It also helped me learn to isolate the important variables and ignore everything else if it is not important to the final goal.,It appeals to me because it stimulates a full deck of cards in detail. It is unappealing because for our purposes it is very overcomplicated.,It supported my learning in class because it made me realize that detail is not always beneficial and is sometimes excessive and unnecessary for data collection.,5,5,5,3,5,7,7,9,8,6,7,8,7,9,7,6,5,5,8,6
63,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,"We only used one spinner, not two. ",It randomly samples the results for seven notes.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","We used dots for the sampling, not stacks. ","Appeal - This sampler is able to compare the proportions between incorrect and correct results.
Does not appeal - This sampler would not be ideal for numbers much higher than 7. ",I don't remember using this device for my class assignment. ,"Appeal - this sampler is able to compare the accurate and inaccurate results through teacher-student comparisons
Does not appeal - there is nothing about this sample that does not appeal to me","Learning about this device made me aware of another way to compare right and wrong music answers. However, I personally did not sample this way for my part B assignment.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",It was able to show how showing the results of the variable we are not interested in can still make the sampler better. ,"The sampler is able to accurately choose the suit of the card as well as the rank of the card, while also making sure the same card isn't drawn twice. ",This example was able to show how complex sampler may be just to accurately model a simple task such as drawing ten cards from a deck. ,8,9,7,7,7,7,6,7,6,5,5,8,7,6,5,6,8,5,6,7
65,"Yes, I was present and completed the Music Notes activity.",I did not have a well-formed idea initially,N/A,N/A,I had one sampler that just had the 7 notes Jasmine could have guessed.,It randomly selected a note as if Jasmine were guessing the note.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,It shows the chances of getting the note correct as 1/7 but still keeping it random. It is also easier to keep track of just right and wrong notes.,I realized you don't need to keep track of more than what is right and wrong and this also shows 1/7 chances of getting it right.,It is accurate because it shows the correct note and the guessed note but it is hard to keep track of all the combinations and determining if the guess was right or wrong.,I learned how to organize the table to display the notes that are right together and the ones that are wrong together. ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",This will show the two kinds of the samples' suits which is more easily to understood than four different suits,It appeals the suits and cards' points to me. ,The form of mixers is more sophisticated than that of Stacks. ,8,8,7,7,7,7,5,6,7,7,8,7,8,7,7,8,7,9,8,8
66,"No, I was not present, but I have worked through this activity on my own.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,"I thought that this sampler would make the most sense because it represented the chance in a way that was easy for me to visualize. It made sense that the teacher would play the note first, then Jasmine would guess the note from the same set in sequence.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"I don’t like the concept of it, it’s hard for me to visualize the problem at hand just from looking at the sampler. However, I appreciate the simplicity of the device, because there really is just a 1/7 chance that the student chooses correctly and the device demonstrates that.",I was ill on 9/24 so I unfortunately missed class discussion. ,"I chose this sampler to use because I felt as though it represented the problem really well. I was able to completely visualize the situation. However, it is a little more complicated to set up and understand than the other samplers.",I was absent for class discussion due to illness.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",It made probability without replacement easier to see.,full detail of both suits and values,It helped me see how probabilities build step by step with suits and values.,7,5,5,6,7,6,5,7,6,5,7,9,8,8,8,8,6,8,7,8
68,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,It relates to my personal narrative because I like how it simulates the random note played and the random guess made. ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,I like how it uses correct and incorrect. I am not the biggest fan of the stacks sampler in general so I'd prefer a different variation. ,This did support my learning because I wouldn't have thought to use this sampler like this and would have opted for something different. ,I like how it clearly shows both the played not and the guessed note ,This did support my learning as it went with the sampler I chose to work with. ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","Without guidance, students might not realize the limitations of this sampler and could mistakenly use it for inappropriate contexts. They might miss the deeper lesson about how model design affects conclusions.","Accurate Proportions
Inflexibility","Students might overlook the sampler’s limitations and assume it is universally applicable. Without guidance, they could miss the deeper lesson about how model choice influences results and the need to critically evaluate tools based on context.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
70,"Yes, I was present and completed the Music Notes activity.",I did not have a well-formed idea initially,N/A,N/A,I set one spinner that has 1/7 probability of getting the correct answer and the rest is for wrong answers.,I think the question asks about choosing one correct answer out of seven notes.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,I think it can be very obvious in showing the setting of the environment.,It helped my learning greatly as it make me more informative of the question and the situation.,This sampler appeals to me as it is easy that we can know the teacher note is what and Jasmine's guess.,It helped my learning as I now know more about the situation.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",This helped my learning in that it showed how to efficiently get statistics for only 1 variable.,"This appeals to me in that each card drawn has both a suit and value, making it the most realistic. However, it is also quite messy, and can be time consuming to make.","This helped the most in visualising how the device is drawing cards, as it is functionally equivalent to drawing from a deck of 52 cards.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,I did only one spinner,It determined whether she got it correct or not ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,It appealed in the sense it was easy to visualize but it wouldn’t work if it was without replacement,It supported my learning because I personally never used that device,I like how it had 2 spinners however I found the quantity was unnecessary ,It showed me a different viewpoint of also simulating the actual note apart from the guess alone,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I think it’s not that useful and not making things easier to understand ,It is organized and visually shows the relationship between elements,It’s helpful because it helps me visualize the relationship between elements and how samples are drawn ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
74,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,It was like the one I chose but a mixer,One correct option and six incorrect,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Like it but a mixer,I like that all incorrect options are labeled together,I honestly got lost,I find it confusing,I did not get it,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I learned that you did not even need to worry about the numbers on the cards like this.,"This sampler looks correct, the part that doesn't appeal to me is actually building it out.",I learned that there was a better way to do this.,8,8,9,7,9,8,8,7,8,7,8,9,7,8,9,8,8,9,8,8
75,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,"I liked the sampler we used because I feel that it demonstrates the whole process accurately with the teacher picking a note of out 7 notes, and then Jasmine guessing a random note after that. ","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"It is much easier to format to demonstrate that Jasmine has a 1/7 chance of guessing the correct note. Something that doesn't appeal to me is that it doesn't show which note is played or guessed, but that doesn't really matter in the context of this problem.",Talking about this device supported my learning in class because it showed a simpler way to demonstrate the same problem. ,Something that appeals to me about this sampler is that it perfectly demonstrates the process with the teacher playing 1 out of the 7 notes and Jasmine guessing 1 out of 7 notes. Something that doesn't appeal to me is that it can get a bit messy when this is run many times. ,"Talking about this device supported my learning in class because this was the device I originally thought of, so it was good to see that the device I thought of was one of the correct ones. ","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I don't recall the class talking about this device when referring to the example above. ,"Appealing aspect - the division of suits, followed by the division of numbers within each suit
Unappealing aspect - nothing",I learned how to separate categories and its subcategories. ,5,6,7,4,5,7,7,7,7,5,2,4,7,4,7,6,7,5,7,7
76,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"Instead of stacks, I used a spinner with two options : correct (14.285%) and incorrect (85.715%).","I wanted to model the problem in the simplest way possible. There was no need to choose the notes individually, so this is the first thing that I thought of.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"What appeals to me is its simplicity. It is very easy to understand what the sampler is doing, and how it relates to the problem.","I chose to stick with the spinner simply because it was already ready and infront of me, but in hindsight I think using stacks is better since the probability of guessing a correct note is truly 1/7 in stacks, instead of just very close to 1/7 in a spinner.","It is definitely a more detailed model of the problem, and more accurately reflects the reality of the experiment. However, in the context of simulation, it is very cumbersome. In order to get an accurate result, you would have to separate out 7 possible cases (a, a; b, b....) It would only probably be useful if the test was to guess Jasmine's aptitude for guessing only a specific note, as opposed to her note-guessing ability in general.","The discussion in class supported my reservations about this model. It requires more work to set up properly, although Professor Kit showed us a way to make it slightly less tedious by using the in-built TinkerPlots formula.","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It was still useful to see another perspective ,This sampler perfectly narrows down what specific card is picked,This made it very useful and easy to narrow down the cards,5,3,8,6,8,3,4,9,7,4,8,9,6,9,9,9,8,8,8,7
77,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,"Note should be randomly picked  and we wanted to know if it reflected or not.
","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,What appels me is that it is simple and straightforward to make. What doesn't appealed me is the lack of detail. ,In supported my learning as there should be more features to use in tinkerplots. ,This appealed me as there was direct reference to whether it was right or wrong. ,It supported me as using two spinners can come up with an accurate result.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",When this device was explained I found it to be the most convenient for the problem we were dealing with and decided to use it. ,This is a very realistic model and is good to pick specific cards. It is a lot of extra work though if your problem doesn't require this level of accuracy.,This was the model I initially came up with so when I realized I didn't need to be this specific I decided to change it. ,6,7,8,7,8,5,8,7,7,5,7,8,7,6,8,6,8,6,9,6
79,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,"One of the samplers represented the note, and the other represented the guess.
","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,It doesn't appeal because it only shows her guess.,It didn't support my learning because it doesn't show the actual note that's played.,It appeals because it shows the random chance of the teacher note and her guess.,It supported my learning in class because it showed side by side the note that was played and her guess.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","It helped simplify the essence of drawing cards, and it made the plots a lot easier to look at for sure. I also had an easier time organizing the data, which I thought really supported my learning.","It's definitely the most accurate sampler; it feels like I'm actually drawing from a deck of cards to see how many hearts I would be getting. I guess I didn't really like how complicated it was, especially since we're only really concerned about the suit.","I don't know if this device really supported my learning due to the overcomplication, but I like how it displayed sequential sampling.",10,7,8,7,9,9,8,10,8,7,9,8,10,9,7,7,8,9,7,10
80,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,"7 piano keys: 6 are wrong (represented by stack of 6), 1 is right (represented by stack of 1).","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"Appeals: makes visual sense (6 wrong notes, 1 right note)
Doesn't: Not really anything.",Didn't really support cause we already thought this was the best one.,"Appeal: more accurate model of situation
Doesn't: doesn't capture 1/7 chance of guessing right as well",Did: because it showed that sometimes the most accurate model for the situation maybe isn't the best for the simulation.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I helped my learning as I know that only a quarter of the cards are hearts.,"This seems too complicated, and I believe there is no need to be like this if we just want 10 from them.",It helped my learning as it shows to me what the process is.,8,9,8,8,8,8,7,8,8,8,8,8,8,7,8,8,7,8,8,8
81,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,It was just easy for me to visualize 7 notes and 1 correct answer,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,It's simple and easy to interpret. Nothing doesn't appeal to me. ,It made it easy to visualize the null and alternate hypotheses. ,We can see what is played by the teacher and if the guess is correct. This makes it more difficult to understand than it needs to be. ,It made it harder to visualize. ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","it helped me understand that sometimes, the simplest solutions often yeild the best results since in B our sampler would not have worked as well without significant effort compared to hearts and not hearts",We did this.,"It made sense since we explicitly solved the ""match"" problem",8,6,8,7,6,7,6,6,7,8,6,6,7,7,8,8,6,9,7,6
82,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,"My chosen sampler shows how there is 1/7 chance of Jasmine getting the answer correct when""guessing"" the note.",,,,,,,,I got a bit confused because I am not the best at computer programs,Its a bit overwhelming but it shows exactly how each card draw went.,In class I was lost at this point tbh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
84,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,I have played piano in the past so I was using a sampler that represented all the notes. ,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I used a spinner that had a 1/7 chance of correct and 6/7 chance of incorrect. ,I like its simplicity in that the note is not ever recorded and just the correctness. ,Talking about this sampler showed that the outcomes can be sampled without having to look at every step involved in the outcome. ,"It is nice how everything is illustrated in the process of how the outcome is determined, but it lacks the simplicity of the other sampler. ","This device showed, as has been shown before, how sampling multiple outcomes can allow for the sampling of one outcome that depends on both of the sampled outcomes. ","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","Talking about this device in class didn't really support me because I didn't use this sampler, so the discussion didn't apply to me. However, it was interesting to see the other ways of making a sampler for this question. ","This device demonstrates accurately the number of hearts getting drawn, and it also demonstrates the exact card getting drawn, so I think this device is the perfect one. ","Talking about this device helped my learning in class because this device demonstrates perfectly the exact card drawn from a deck, and it is pretty simple to make. At first, I didn't think too much about the card being drawn just the suit, but discussion this device in class made me realize that the card number would be an important thing to take into account. ",9,7,10,8,9,9,10,9,8,8,8,8,8,8,8,9,9,9,7,7
89,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,"My sampler was a spinner that had 7 options, one of those options being correct and the other 6 being incorrect as Jasmine had a 1/7 chance of guessing the note correctly.","I choose this sampler because I felt like it would be the sampler that would be the cleanest to read, and it also compacts the necessary aspects that are needed. ","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","I choose my original sampler which was a spinner as well, expect mine was only one spinner. Mine had 7 options, 1 for correct and the other 6 being incorrect.","This sampler appeals to me as it is quite similar to my sampler, expect that its stacks, it looks easy to read and gives the information need right off the bat. There is nothing here that does not appeal to me. ",Talking about this device did help me in class as it was similar to mine I was able to get a better understanding of the topic.,"Like mine, this is a spinner which was my sampler as well, which I find the easiest to read. But the thing that doesn't appeal to me is that the fact that there are two spinners. I feel that this is unnecessary as we only need to know if the guess was correct or not. Not what each guess contained, this also can make it more difficult to plot.","Talking about this did help me in class as it gave me another way to think about the situation at hand, and how I can deal with it if I ever have a sampler similar. ","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","I hadn't initially thought of making this model, the 4 suits one was the first thing that struck me. On hearing this model being discussed, I was opened to the possibility of making the models even simpler","This is the most accurate representation of drawing cards from an actual deck. It tracks both the suit and the number on the card. The downside is that it is comparatively slow to repeat, especially over a large number of either repetitions or trials. If we were sampling say 1000 repetitions of 100 draws of 10, it would be considerably slower than the more basic models.","I hadnt thought of going into so much detail for the purposes of the question. I realised that this kind of model would be slower over large numbers of repetitions, so it wouldnt be efficient.",9,7,8,9,10,10,10,10,10,9,10,10,8,9,10,10,9,9,10,10
91,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,"We had one spinner that had approximately 14% of it correct and 86% of it incorrect with draw 1 and repeat 10. It was essentially the stack one, but with a spinner.","My partner and I have been approaching everything in a binary way, it is either correct or incorrect. There is one way to be correct and 6 to be incorrect. We have also used spinners most frequently.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Ours was the stack example but with a spinner.,"I like how it is simple and easy to interpret the data. However, this could be a drawback in that there isn't as much detail in the results as other methods.",It validated my ideas and reinforced my thinking about binary options.,"I like how this one is detailed, we can see exactly which note it was and which note she guessed. The drawback is that there are two spinners and a lot of variables.","I didn't at first think of using two spinners, so this made me aware of more detailed samplers I could use.","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","This also supports it, but I prefer the last one more. ",It appeals me as it had much more detail and referred to a real deck of cards. ,It did support my learning as I was able to learn there are advanced ways to solve a statistical problem.,8,10,9,5,8,7,7,6,7,7,4,6,7,8,8,9,9,9,9,8
93,"Yes, I was present and completed the Music Notes activity.","A mixer sampler with replacement containing one ball to represent a correct guess, and another ball representing an incorrect guess. ",5,0,My sampler was the mixer with 6 options being incorrect and 1 being correct to model the 1/7 chance that the correct note was identified.,My personal narrative of the context was that 1 note was selected randomly as a guess and had a 1/7 chance at being correct. This was modeled in my sampler.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","I chose this in the mixer format.
",This is concise and has all the needed information in it. ,This sampler was another representation of my sampler and provided me the same results as the other. ,This sampler is just as accurate but has unneeded information as the second spinner is not needed. ,This device is the same as the device I had accept it is in spinner form and not mixer form like I had. ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It did because it was easy for me to be able to distinguish between the two.,This appeals to me because each part of the stack represents one of the corresponding balls in the mixer.,It did because now it is easy to track the exact card that was taken from this sample.,10,10,10,10,10,6,7,6,6,5,7,10,10,10,10,7,10,10,10,10
94,"Yes, I was present and completed the Music Notes activity.",I did not have a well-formed idea initially,N/A,N/A,I had a mixer with 7 balls. 1 was labeled correct the rest were labeled incorrect and i had it draw 1 repeat 10 times,"7 notes, odds of getting a note correct is 1/7, draw 10 times","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,Easy to make. Simple to understand. I think this hits all checks on how a proper sampler should look,It supported my idea of a proper sampler,"This is effective, but a bit complicated as its not relevant what note was selected, more so if it was correct or not.",It supported my learning because it showed how it was not completely effective.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","Talking about this device helped me explore a new way to model a real-world event, giving me new ideas for statistical models.","Appeal: You can actually see which number/royalty you draw!
Doesn't: It's in two parts, which seems a bit janky.",Talking about this device gave me yet another model for modeling real world events and helped me better understand the differences between potential models.,9,8,7,9,8,8,7,10,8,9,8,8,9,9,9,8,8,8,8,9
97,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,It helped us to visualize the question,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"7 possible answers, one guess can be incorrect, with replacement",it supported my learning because it helped to make us understand how null was rejected,There are too many options,n/a,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It showed me how probability works. ,"We are able to see every single card in the deck that is being drawn. However, it is a little too complex for the problem we were doing. ",It aided in showing how every card drawn is independent from each other.,8,8,7,7,6,7,7,8,8,8,6,8,7,8,8,7,8,7,8,8
98,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,The sampler I chose earlier was similar to mine however in the format of the spinner where 1/7 was correct and the other 6/7 were labeled as incorrect. I felt that this would help explain the amount of guesses that were right or wrong in the trial with the application of the null hypothesis. ,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",My sampler was a spinner rather than stacks. ,"What appeals to me about this sampler is the fact that it draws from the probability of whether its incorrect through 6 stacks while when drawing again, there is only a 1/7 chance of attaining the correct note. ","Talking about this device in class supported my learning in class by understanding that Jasmine in fact was not guessing randomly as it is highly unlikely to correctly guess 7/10 of the notes, therefore demonstrating that she had some previous knowledge regarding music. ","This sampler doesn't appeal to me as much as my sampler did because it may take longer to look through the results and look for whether Jasmine guessed correctly on the teacher's note. Whereas in my sampler, it was quickly accessed by looking whether Jasmine's guess was incorrect or correct. ",This sampler helped support my learning in class by understanding how to create a sampler based off a null hypothesis.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",This device felt almost like a coinflip and talking about this device showed how data could be sampled more simply. ,This device does not appeal to me much as it seems overly complex but it does show how multiple things can be sampled. ,Talking about this device showed how different things can be sampled differently rather than having to combine them to make one category. ,9,9,7,9,9,8,7,8,8,9,7,9,8,8,8,8,8,8,8,9
101,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,"I thought that, similar to the NFL example, that it didn't matter what note this null-hypothesis agent picked, just that whether this random guess was right or wrong (hence the 1/7 chance of getting it right in the stacks)","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"This is the one I chose. It is easier to set up, but may not be as intuitive as a spinner though only a very slight difference)","It only bolstered my confidence in my model
",The ease of understanding while setting this up. Analysis is harder to complete though.,It made me realize how we can use baseline assumptions to our advantage to create computationally efficient simulations,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",This supported my learning because of how intuitive and easy it was to understand. It showed a clear representation of what drawing without replacement would look like,"I like how detailed it is, though that is also a downside. It takes longer to set up, and for the questions we were asked it seems a bit unnecessary to do all the extra work.",It showed how we can first draw from a suite and then draw a specific card from that suite which I thought was pretty cool,5,6,8,3,4,3,4,4,3,5,4,3,8,5,5,4,3,4,5,5
102,"Yes, I was present and completed the Music Notes activity.","A mixer sampler with replacement containing one ball to represent a correct guess, and another ball representing an incorrect guess. ",5,0,My sampler is functionally the same as the one I chose above.,"This sampler simulate Jasmine's guess on every note, and there are totally 10 of them.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",My sampler is exactly the same as the one I chose above.,The is appealing because it shows the number of incorrect and correct clearly. What's not appealing is that I think it doesn't show probability.,This did support my understanding of this class because it shows me a way of thinking about how to simulate a guess which probability of correctness is 1/7.,This device is very appealing to me because it's a two-step device which shows the whole process of guessing easier to understand. There's nothing no appealing to me about this device.,"This did support my learning in class, because this is a very structural way of thinking about a problem and I can implement this idea even in other problems.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,,,4,2,10,4,2,8,8,8,7,6,5,5,8,8,6,2,5,2,5,2
103,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,I think this one is more simple and explicit model compared to others and this looks better than the spinner sampler to me because the percentage is more visible and apparent.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,This is simple and explicit and it is the most appealing one to me.,This device helps me go through the in-class activities.,This is one is a bit complicated with 2 draws and redundant labels which might be confusing.,This device is overall a good simulation of the context from the prompt.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It supported me by being able to look and get an different approach of how this work could be done.,"Something in this sampler that appeals to me is the separation of the data, and how not everything is just bunched together. However, I do not like how the data is put into a mixer, it makes it harder to read.","I think this device connection confused me, as I said this one is a little harder to read making it not the easier for me to get an understanding.",2,5,3,0,5,3,6,10,8,5,10,1,0,7,10,10,3,6,7,5
